Théâtres,1860-09-16,1860-09-17,1860-09-18,1860-09-19,1860-09-20,1860-09-21,1860-09-22,16 - 22 sept.
Opéra,,,,,,,,
Théâtre Français,2273.7,1318.3,1396,1776.9,971.2,1706.7,1736.4,11179.2
Opéra-Comique,3611.5,3183,2454.5,3221.5,2209,3290.25,1993,19962.75
Théâtre des Italiens,,,,,,,,
Odéon,1478,294.25,744.25,352,390,1005.5,311.25,4575.25
Théâtre-Lyrique,2070.25,985.5,894.25,1189.5,1249.25,942.5,597.5,7928.75
Vaudeville,1909,560,1440.5,1333,1143,1030,1039.5,8455
Théâtre des Variétés,1962.5,1223.5,1893,1419,1748,1230,992.5,10468.5
Gymnase,2246.75,1918,2747.25,2253.75,2530,1843,2158.75,15697.5
Palais-Royal,1701.25,1263.25,2004,1502.25,1706,1652,1304.25,11133
Porte Saint-Martin,5721.75,5303.5,5672,5538,5780.5,5687.75,5663.75,39367.25
Gaîté,3220.5,2026.3,2104.9,1908.15,1942.8,2032.65,1729.75,14965.05
Ambigu-Comique,2802.75,1530,2934.5,1914.75,1468.35,1558.25,2207.65,14416.25
Théâtre Impérial du Cirque,5184.7,3205.8,4302.05,3729.2,3830.6,4003.95,3617.85,27874.15
Folies-Dramatiques,1852.45,881.85,1175.75,746,871.5,,857.4,6384.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1979.5,1801,1989,1971.5,1913.5,1888,2031,13573.5
Folies Nouvelles,,,,,,,,
Total,38014.6,25494.25,31751.95,28855.5,27753.7,27870.55,26240.55,205981.1
