Théâtres,1860-11-11,1860-11-12,1860-11-13,1860-11-14,1860-11-15,1860-11-16,1860-11-17,11 - 17 nov.
Opéra,,,,,,,,
Théâtre Français,4098.3,2928.7,2900.8,2150.4,2926.7,2820.5,3322.1,21147.5
Opéra-Comique,3367.5,1313.5,2090.5,1974.5,1244.75,2457,1546.5,13994.25
Théâtre des Italiens,3749,,7159.7,,6442.8,,8249.45,25600.95
Odéon,2674.25,1231,894.25,613.75,984.5,388,835.75,7621.5
Théâtre-Lyrique,2286.25,1513.75,3963.25,1370,3314,1363.25,3414,17224.5
Vaudeville,2902.5,1616.5,1757,,1404,1534,1432,10646
Théâtre des Variétés,3639,2341,2131.5,2362.5,2052,2296,2200,17022
Gymnase,3200.25,2383.5,2238.5,2283.5,1979.5,2770.25,2393.25,17248.75
Palais-Royal,3004.25,1701.95,1603.75,1601.25,2124.45,1704.2,2002.25,13742.1
Porte Saint-Martin,5400.5,4417,,,,5002,5017.75,19837.25
Gaîté,3544.45,2749.6,2413.55,,2223.75,2601.25,2144.9,15677.5
Ambigu-Comique,2757.25,,,,,,,2757.25
Théâtre Impérial du Cirque,3201.45,1404.9,1472.75,1569.65,1439.4,,1461.75,10549.9
Folies-Dramatiques,2090.9,1234,775.95,864.1,2027,1031.3,819.8,8843.05
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1630.5,1527.5,1644.5,1448,1503.5,1685.5,1744.5,11184
Folies Nouvelles,,,,,,,,
Total,47546.35,26362.9,31046,16237.65,29666.35,25653.25,36584,213096.5
