Théâtres,1860-07-08,1860-07-09,1860-07-10,1860-07-11,1860-07-12,1860-07-13,1860-07-14,8 - 14  juil.
Opéra,,,,,,,,
Théâtre Français,1320.7,1321.1,1321,924.4,,925.4,1284.3,7096.9
Opéra-Comique,1144.5,1611,5177.25,782.5,3012.5,1365,3579.5,16672.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,355,425,434,413.5,723,279.5,1011.5,3641.5
Théâtre des Variétés,1546,1182.5,1205,1020.5,2103,1008.5,2151,10216.5
Gymnase,696.5,774.75,692.25,1095,1241,773,1624.5,6897
Palais-Royal,709.95,702.45,364.9,408.7,1010.2,454.1,1201.5,4851.8
Porte Saint-Martin,1700.75,1111.5,1389,1199.5,1921.5,,1335.25,8657.5
Gaîté,1559.9,1042.45,1200,985.5,1365.65,828.75,1300.25,8282.5
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,987.95,590.8,699.75,584.85,,460.6,,3323.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,10021.25,8761.55,12483.15,7414.45,11376.85,6094.85,13487.8,69639.9
