Théâtres,1860-12-09,1860-12-10,1860-12-11,1860-12-12,1860-12-13,1860-12-14,1860-12-15,9 - 15 déc.
Opéra,,,,,,,,
Théâtre Français,3295,2384.8,1560.2,2165.6,2485,2307,1502.8,15700.4
Opéra-Comique,5497,2054.5,1733,1817,2181,2140,2109.5,17532
Théâtre des Italiens,4205.5,,7274,,5767.6,,7217,24464.1
Odéon,2374.25,1121,965.75,790,757,800.25,1028,7836.25
Théâtre-Lyrique,3035.5,1593.5,3442,,2819.75,,3413.75,14304.5
Vaudeville,3456,1066.5,1015,913,963,1138.5,1105,9657
Théâtre des Variétés,3201.5,1950.5,2050.5,1624,1810.5,1702,1300,13639
Gymnase,2939.25,1753.75,1124.5,1607.5,1631.75,1464.25,1389,11910
Palais-Royal,3218.5,2002.75,2313.25,2121.79,2305.25,2342.75,2236,16540.29
Porte Saint-Martin,5449,,,4867.25,4915,4512.75,5056,24800
Gaîté,3147.55,2066.5,1672.5,1565.5,1697.75,1616.25,1107.55,12873.6
Ambigu-Comique,3849,3740.5,3614.5,3500.5,3551.25,3443.25,3447.25,25146.25
Théâtre Impérial du Cirque,4628.4,2313.25,1456.25,1466.2,1593.25,1300.25,1209.25,13966.85
Folies-Dramatiques,2039.55,939.85,581.4,560.7,543.8,,,4665.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1654,1644,1696.5,1508.5,1527,1392.5,1315,10737.5
Folies Nouvelles,,,,,,,,
Total,51990,24631.4,30499.35,24507.54,34548.9,24159.75,33436.1,223773.04
