Théâtres,1860-06-17,1860-06-18,1860-06-19,1860-06-20,1860-06-21,1860-06-22,1860-06-23,17 - 23 juin.
Opéra,,,,,,,,
Théâtre Français,4078.9,1382.5,3466.3,3425.4,3882.5,2372.1,1762.7,20370.4
Opéra-Comique,5194,2335.5,2273.5,2444.75,2505.5,1318.5,2166,18237.75
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,2894.25,842.25,1798,1279.75,2441,1057.25,1012.25,11324.75
Vaudeville,2128,826.5,1017,853,1136,754,311,7025.5
Théâtre des Variétés,3731,2641,2458,3001.5,3035.5,2296,1615.5,18778.5
Gymnase,2944.75,1852.25,1551.5,1609.5,,1601.5,707,10266.5
Palais-Royal,2813.25,1213.15,1518.95,1738,1736,1127.75,617.5,10764.6
Porte Saint-Martin,4210.5,2723.75,3438,2434.75,3315.5,2881.75,2361.5,21365.75
Gaîté,2254.75,709.8,669.25,1000.5,984.5,621.4,,6240.2
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,548.55,398.15,,475.8,397.2,293.3,2113
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,30249.4,15075.25,18588.65,17787.15,19512.3,14427.45,10846.75,126486.95
