Théâtres,1860-08-12,1860-08-13,1860-08-14,1860-08-15,1860-08-16,1860-08-17,1860-08-18,12 - 18 août
Opéra,,,,,,,,
Théâtre Français,3192.7,1803.8,1832.9,,2185.9,2159.8,1790.3,12965.4
Opéra-Comique,5388.5,2554,3768,,3772,2968,2361,20811.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,4003,2170,2183,,1592.5,2346,1844,14138.5
Théâtre des Variétés,2555,1657,1535,,2007.5,1773,1.451.50,9527.5
Gymnase,1435.75,923,1087.5,,1157.5,1159.25,1132.75,6895.75
Palais-Royal,2802.75,2204.25,1617.25,,2415.5,2665.5,2009.75,13715
Porte Saint-Martin,,,,,2044.25,1874,1413.26,5331.51
Gaîté,2719.75,1336.9,1080.9,,1901.8,1646.9,1460.15,10146.4
Ambigu-Comique,3543.25,2206.25,3310.5,,4579,2803.5,2277.25,18719.75
Théâtre Impérial du Cirque,,,,,,5027.2,4905.05,9932.25
Folies-Dramatiques,683.1,580.45,601.45,,885.2,862.6,,3612.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,26323.8,15435.65,17016.5,0,22541.15,25285.75,19193.51,125796.36
