Théâtres,1860-05-20,1860-05-21,1860-05-22,1860-05-23,1860-05-24,1860-05-25,1860-05-26,20 - 26 mai
Opéra,,,,,,,,
Théâtre Français,3014.1,1450.4,2908.5,2053.4,2333.2,2636.6,3078.2,17474.4
Opéra-Comique,2366.25,2038,1365.5,790,,808.5,2096.5,9464.75
Théâtre des Italiens,,,,,,,,
Odéon,635.75,219.25,179.75,138.5,2529.25,393.75,1519.75,5616
Théâtre-Lyrique,1170.5,902.75,1835.5,783.75,1583.75,802,1826,8904.25
Vaudeville,1231.5,1228.5,914.5,720,848,,1232.5,6175
Théâtre des Variétés,1364.5,1004,783.5,701.5,945,739.5,1367.5,6905.5
Gymnase,1681.75,1518.75,1467.25,1348,1646.25,1500.25,2061.5,11223.75
Palais-Royal,1111,1006.85,701.6,607.1,612.15,1111.4,1655,6192.95
Porte Saint-Martin,1520.25,1203.5,,1318.5,1382.75,1392.5,1344,8161.5
Gaîté,1404,691.25,,657.15,,1471.55,1136.9,5360.85
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1038.65,449.4,294.85,294.9,434.55,298.2,516,3326.55
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,16538.25,11712.65,10450.95,9412.8,11702.75,11154.25,17833.85,88805.5
