Théâtres,1860-07-01,1860-07-02,1860-07-03,1860-07-04,1860-07-05,1860-07-06,1860-07-07,1 - 7 juil.
Opéra,,,,,,,,
Théâtre Français,1871.9,2180.8,,1194,1312.2,2008.5,1521.1,10088.5
Opéra-Comique,1871.5,1125.5,,1322.5,3067.5,1855,2897,12139
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,746,441,,571.5,221,568,314.4,2861.9
Théâtre des Variétés,2113.5,1610.5,,1393.5,1136,1654.5,1528.5,9436.5
Gymnase,1047.75,823.75,,714,487,664.5,740.75,4477.75
Palais-Royal,1215.2,605.4,,410.4,415.2,916.7,648.7,4211.6
Porte Saint-Martin,3045.5,1975,,1469.25,1380.25,1696.75,1403.5,10970.25
Gaîté,2236,1183.55,,1000.25,807.75,1248,1054.75,7530.3
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,1903.9,984.2,,798.95,649.9,845.6,717.3,5899.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,16051.25,10929.7,,8874.35,9476.8,11457.55,10826,67615.65
