Théâtres,1860-09-09,1860-09-10,1860-09-11,1860-09-12,1860-09-13,1860-09-14,1860-09-15,9 - 15 sept.
Opéra,,,,,,,,
Théâtre Français,3148.7,1053.1,2139.5,623.5,1637.2,1140.4,1512.9,11255.3
Opéra-Comique,2531.5,1211,2359.25,1346,3153.25,,1630.5,12231.5
Théâtre des Italiens,,,,,,,,
Odéon,,557.75,491.75,764.25,378.75,367.5,605,3165
Théâtre-Lyrique,2092.25,1021.75,1021.75,701.75,633.5,759.75,695,6925.75
Vaudeville,718.5,1153,1155.5,1183,864,1762.5,910,7746.5
Théâtre des Variétés,1283.5,1001.5,1290,869,995,863.5,1302,7604.5
Gymnase,994,1144.25,1163,1156.75,1209.5,1410.5,1027,8105
Palais-Royal,1818.25,1402,1914.2,1603,1439.25,1402,1209.7,10788.4
Porte Saint-Martin,5619.25,4813.5,5601,5513.25,,5376.25,5445,32368.25
Gaîté,3353.65,2642.4,2301,2262.65,1709.4,1642.35,1501,15412.45
Ambigu-Comique,,2423.25,1819,1548.25,1479.25,1686,1433.75,10389.5
Théâtre Impérial du Cirque,5913.3,4531.45,4678,4352.2,4202.2,3600.05,3419.8,30697
Folies-Dramatiques,2007.5,,1197.95,1199.65,889.1,932.15,886.6,7112.95
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,2174,2161.5,2145,2149,2069,2058,1852,14608.5
Folies Nouvelles,,,,,,,,
Total,31654.4,25116.45,29276.9,25272.25,20659.4,23000.95,23430.25,178410.6
