Théâtres,1860-11-04,1860-11-05,1860-11-06,1860-11-07,1860-11-08,1860-11-09,1860-11-10,4 - 10 nov.
Opéra,,,,,,,,
Théâtre Français,3305.7,1983.7,1776.6,2061,2686.6,2663.4,2653,17130
Opéra-Comique,2881.5,1603.5,1899,2082.5,1961,1954,2118.75,14500.25
Théâtre des Italiens,9596.5,,8552.2,,1147.8,,9576.5,28873
Odéon,2581.75,875.75,849.25,672.75,691,809.75,1049,7529.25
Théâtre-Lyrique,2484.25,1965.25,3820.25,6185.5,3708.5,1780.5,3728,23672.25
Vaudeville,2770,1783.5,1926,1730,2017.5,1846.5,1823,13896.5
Théâtre des Variétés,3764.5,2532.5,2690,2321,2713.5,2567,2565.5,19154
Gymnase,3137.5,2310,2294,1773.5,2016.75,1621.25,2204.5,15357.5
Palais-Royal,2612.75,1706,1706,1507.5,1403.75,1406.7,1321.95,11664.65
Porte Saint-Martin,5509.75,5011.25,4894.25,4679.75,4601.5,,5012.5,29709
Gaîté,3626.8,2601.2,2375.15,2395.2,2153.95,2402,2128.75,17683.05
Ambigu-Comique,3025.75,1279.9,993.25,735.25,878.75,816.75,,7729.65
Théâtre Impérial du Cirque,4072.6,1690.85,1306.5,1361.75,,1027.5,1492,10951.2
Folies-Dramatiques,2127.75,1234.95,805.15,741,665.4,647.75,612.4,6834.4
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1644,1247.5,1508.5,1117,1270.5,1415,1622.5,9825
Folies Nouvelles,,,,,,,,
Total,53141.1,27825.85,37396.1,29363.7,27916.5,20958.1,37908.35,234509.7
