Théâtres,1860-12-16,1860-12-17,1860-12-18,1860-12-19,1860-12-20,1860-12-21,1860-12-22,16 - 22 déc.
Opéra,,,,,,,,
Théâtre Français,3529.7,1608.3,2300.7,2417.3,1996.3,2398.3,2103.5,16354.1
Opéra-Comique,4205.5,1031.75,1806,1007,1690,1174.5,951,11865.75
Théâtre des Italiens,5550.5,,6143.7,,7114.9,,9620.3,28429.4
Odéon,2268.75,539.75,558,283,461.75,230,637.75,4979
Théâtre-Lyrique,2213.75,1553,3253.75,2021,2072.25,1928.75,2039,15081.5
Vaudeville,2144.5,888.5,1159.5,704.5,731,793.5,747,7168.5
Théâtre des Variétés,2527.5,1175.5,,,,,,3703
Gymnase,2418.75,976.25,1931.5,1232.5,2817.5,991.75,1400.25,11768.5
Palais-Royal,3012,2008.7,2006.7,1736.75,1705,2018.75,1752.5,14240.4
Porte Saint-Martin,5195.5,3700.75,4400.5,4013.5,4046.75,3719,3643,28719
Gaîté,2801.4,1029.75,1567.25,1007.4,1565.75,1167.25,878.5,10017.3
Ambigu-Comique,3842,3486.5,3384.25,3202.75,3232.25,3107.75,2800,23055.5
Théâtre Impérial du Cirque,4001.6,1343.7,1049.25,736.95,838.5,596,634.5,9200.5
Folies-Dramatiques,1909.35,724.9,,,,,,2634.25
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1492.5,1041,1324,1110,1457,1194,1203.5,8822
Folies Nouvelles,,,,,,,,
Total,47113.3,21108.35,30885.1,19472.65,29728.95,19319.55,28410.8,196038.7
