Théâtres,1860-08-19,1860-08-20,1860-08-21,1860-08-22,1860-08-23,1860-08-24,1860-08-25,19 - 25 août
Opéra,,,,,,,,
Théâtre Français,2451.9,1999.9,2177.2,1620.2,2138.1,1717.2,1627,13731.5
Opéra-Comique,3367,2581.5,3204.5,1933.5,1760,2543.5,1433.5,16823.5
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,2939,1714,2148,2438.5,1490.5,1527,1220,13477
Théâtre des Variétés,2263.5,1821.5,2001,1707.5,1231,1308,1126,11458.5
Gymnase,1670.75,1137.5,1410.5,2462.75,1058.5,1141.25,1033.75,9915
Palais-Royal,2627.75,2250,2351.75,2400,2001.2,1925.9,2411.75,15968.35
Porte Saint-Martin,2404.5,1179.25,1608.75,1396.25,1591.75,906.75,870.25,9957.5
Gaîté,2451,1457.05,1500.9,1468.15,1075.9,1016.5,1200.25,10169.75
Ambigu-Comique,3148.25,2010.5,1922.25,2334,1754,1.707.25,1642.5,12811.5
Théâtre Impérial du Cirque,6505.65,5100.55,5170.2,5049.9,5235.45,5037.9,5018.45,37118.1
Folies-Dramatiques,1888.05,1009.35,1061.05,877.6,,,548.65,5384.7
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Total,31717.35,22261.1,24556.1,23688.35,19336.4,17124,18132.1,156815.4
