An 1860,,,,,,,
Mois,Semaines,,,,,,Total mois
Mai,0,122831.68,113258.74,88805.5,106019.1,,430915.02
Juin,25586.55,97913.5,103092.05,126486.95,76553.25,,429632.3
Juillet,67615.65,69639.9,83632.45,116860.05,70049.05,,407797.1
Août,60693.05,136044.63,125796.36,156815.4,109405.5,,588754.94
Septembre,19325.16,157007.85,178410.6,205981.1,,50571.1,611295.81
Octobre,200747.45,247005.35,230584.55,239475.9,111160.95,,604300.06
Novembre,97497,234509.7,213096.5,238686.25,180106.2,,963895.65
Décembre,44009.4,44009.4,44009.4,44009.4,44009.4,44009.4,264056.4
Total an,515474.26,1108962.01,1091880.65,1217120.55,697303.45,94580.5,4725321.42
