Théâtres,1860-12-02,1860-12-03,1860-12-04,1860-12-05,1860-12-06,1860-12-07,1860-12-08,2 - 8 déc.
Opéra,,,,,,,,
Théâtre Français,3898.1,2265.1,2329.2,2661.8,2002.2,1565.2,2698.8,17420.4
Opéra-Comique,5122,1646,2457,1919,1653,2242,1645.5,16684.5
Théâtre des Italiens,5707,,7861.5,,6569.6,,6703.5,26841.6
Odéon,2865.5,1010.25,796.5,811.25,1447,678.5,789.25,8398.25
Théâtre-Lyrique,3891.25,2649.75,,1894.75,3539.5,2278.25,3063.25,17316.75
Vaudeville,,763.5,1017,859.5,1369,1564,1719,7292
Théâtre des Variétés,3400.5,1984.5,1968.5,1766.5,2089.5,1856.5,1779.5,14845.5
Gymnase,3615.75,1636.75,1809.25,1760.25,1769,2011,1471.25,14073.25
Palais-Royal,3133.75,2402,2105.5,2303,2208.25,2206.2,2206,16564.7
Porte Saint-Martin,5799.25,,,5095,4900.25,4771.25,5331.75,25897.5
Gaîté,3786.55,2288.1,1957.4,2061.75,1900.55,2002,1409.15,15405.5
Ambigu-Comique,3849.75,3808.75,3680,3625.75,3644.25,3573.75,3422.25,25604.5
Théâtre Impérial du Cirque,5878.1,3003.2,2149.9,1936.55,1751.05,1890.5,1453.1,18062.4
Folies-Dramatiques,2182.55,1084.95,874.35,535.7,763.85,480.05,473.15,6394.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1778.5,1434.5,1233.5,1088,1439,1306,1458,9737.5
Folies Nouvelles,,,,,,,,
Total,54908.55,25977.35,30239.6,28318.8,37046,28425.2,35623.45,240538.95
