Théâtres,1860-10-21,1860-10-22,1860-10-23,1860-10-24,1860-10-25,1860-10-26,1860-10-27,21 - 27 oct.
Opéra,,,,,,,,
Théâtre Français,3624.1,1902.7,1822.7,1831.8,2701.6,2109.6,3014.4,17006.9
Opéra-Comique,4158.5,1275.5,1913.75,3772,2025,3382.5,790,17317.25
Théâtre des Italiens,3972.5,,7687.1,,6222.55,,7069.75,24951.9
Odéon,2863.25,975,1165.5,935,607.75,661,498.5,7706
Théâtre-Lyrique,2212,3879.5,3823.75,737.5,4219.5,608,4204,19684.25
Vaudeville,1286,3173,3192,3012,2508.5,2503,2645.5,18320
Théâtre des Variétés,3100.5,2099,2251,2348.5,1947.5,2129,1774,15649.5
Gymnase,2520.75,1491.5,1601.25,1648,1940.25,,2215.75,11417.5
Palais-Royal,2002.25,1604.25,1704.25,1504.5,1502.2,1204.7,1203.5,10725.65
Porte Saint-Martin,5823.5,5103.75,5365.75,5312.75,5105,5029.5,5162,36902.25
Gaîté,3845.5,3147.25,2843.4,2536.9,2660,2571.5,1924.4,19528.95
Ambigu-Comique,3236.25,2007.25,1309.5,1123.5,1304.25,1018.75,905,10904.5
Théâtre Impérial du Cirque,4901.2,2055.25,1643.95,1762.45,1855.45,1408.8,1547.05,15174.15
Folies-Dramatiques,,1115.65,645.6,,622,351.2,1843.65,4578.1
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1643.5,1357,1440.5,1392,1237,1150,1389,9609
Folies Nouvelles,,,,,,,,
Total,45189.8,31186.6,38410,27916.9,36458.55,24127.55,36186.5,239475.9
