Théâtres,1860-05-13,1860-05-14,1860-05-15,1860-05-16,1860-05-17,1860-05-18,1860-05-19,13 - 19 mai
Opéra,,,,,,,,
Théâtre Français,2673.6,1583.5,3219,2616.7,3500,2159,3404.2,19156
Opéra-Comique,1593,2018.5,2438.5,1271.5,1862.5,1494.75,2202.5,12881.25
Théâtre des Italiens,,,,,,,,
Odéon,1037.25,352.75,453.75,468.05,820.75,342,667.75,4142.3
Théâtre-Lyrique,823.5,3529.5,2358.75,1092,1898,991.99,2294.75,12988.49
Vaudeville,1086.5,1713,1625,1511,1141.5,,1173,8250
Théâtre des Variétés,1371,930,1652,1323.5,1341.5,1542,1881,10041
Gymnase,1271.75,1354.25,1662.25,1322,1404.5,1462.75,1666,10143.5
Palais-Royal,1124.45,1305.5,2005.7,1354.95,1313.2,1616.95,1605.4,10326.15
Porte Saint-Martin,2228,1587.5,2096.25,1697,2333.25,1515.75,2501.75,13959.5
Gaîté,1466.65,746.25,1000.15,806.25,1283.5,611,699.75,6613.55
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,300.4,,589.2,608.9,1498.5
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,225.5,367,614,411.5,324,518.5,798,3258.5
Folies Nouvelles,,,,,,,,
Total,14901.2,15487.75,19125.35,14174.85,17222.7,12843.89,19503,113258.74
