Théâtres,1860-06-24,1860-06-25,1860-06-26,1860-06-27,1860-06-28,1860-06-29,1860-06-30,24 - 30 juin.
Opéra,,,,,,,,
Théâtre Français,1460.8,,1602.2,1411.4,1992.3,2173.9,2532.7,11173.3
Opéra-Comique,1031.5,,6708.5,1303.25,2149.5,1431.5,1488,14112.25
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,927.75,,1400.75,1715.75,1811.25,1510.25,2059,9424.75
Vaudeville,320.5,,653,206.5,851,433.5,688.7,3153.2
Théâtre des Variétés,1106.5,,2317.5,1442.5,1768,,2350,8984.5
Gymnase,405.5,,1016.5,599,1056.25,970,1266.25,5313.5
Palais-Royal,507.3,,821.7,615.2,611.2,812,1014.25,4381.65
Porte Saint-Martin,1884.25,,3112.25,1738.5,2422.75,2247,2471.25,13876
Gaîté,,,,,,1.408.50,1528.25,1528.25
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,490.3,,565.15,259.2,1003.05,1114.4,1173.75,4605.85
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,,,,,,,,
Folies Nouvelles,,,,,,,,
Totale,8134.4,0,18197.55,9291.3,13665.3,10692.55,16572.15,76553.25
