Théâtres,1860-10-07,1860-10-08,1860-10-09,1860-10-10,1860-10-11,1860-10-12,1860-10-13,7 - 13 oct.
Opéra,,,,,,,,
Théâtre Français,2706.2,3181.4,2748.8,2629.1,2531.9,2125.3,2024.9,17947.6
Opéra-Comique,4834.5,2912.5,3141,3168,4662,2469.5,2871,24058.5
Théâtre des Italiens,8270.5,,8787.85,,6838,,7675.1,31571.45
Odéon,2619,588.75,1419.75,273.25,1028.75,,876.25,6805.75
Théâtre-Lyrique,2914.25,1562.5,859.5,867.75,742.5,687.25,,7633.75
Vaudeville,1855,959.5,850,946,1182.5,3850,920,10563
Théâtre des Variétés,2665,1958,1960,1780.5,1794,1755,1388.5,13301
Gymnase,3022.75,2401.25,2521.25,2463,2270.75,2511.75,2063,17253.75
Palais-Royal,2311,1404.5,1803,1813.25,1517.75,1911.15,2102.45,12863.1
Porte Saint-Martin,6066.25,5821,5720,,5585.75,5543,7503,36239
Gaîté,3006.45,2270.8,1921.05,,1243.75,2039.75,2365.9,12847.7
Ambigu-Comique,3829,2656.5,2105.75,2009.75,1361.25,2170,1606,15738.25
Théâtre Impérial du Cirque,5368.4,3647.75,2807.1,2507.3,1856.85,2701.75,2052.55,20941.7
Folies-Dramatiques,1828.3,1143.65,885.75,734.65,556.2,773.35,637.4,6559.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Bouffes Parisiens,1842.5,1937,1823,1847.5,1553,1800.5,1878,12681.5
Folies Nouvelles,,,,,,,,
Total,53139.1,32445.1,39353.8,21040.05,34724.95,30338.3,35964.05,247005.35
