Théâtres,1867-05-05,1867-05-06,1867-05-07,1867-05-08,1867-05-09,1867-05-10,1867-05-11,5 - 11 mai
Opéra,,9071.18,,7785.21,,6863.16,8865.92,32585.47
Théâtre Français,1461,2766.5,3297,2264,2630,2151,1412.5,15982
Opéra-Comique,3058,1622.75,4148,2139,2653.5,2421,2788,18830.25
Théâtre des Italiens,,,,,,,,0
Odéon,764.5,514,320.25,319.5,224.5,,221.75,2364.5
Théâtre-Lyrique,1362.5,4222.5,7422,2729,7544,2826,7665,33771
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,,,2206.25,1941,1666,,1381.25,7194.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,6646,18196.93,17393.5,17177.71,14718,14261.16,22334.42,110727.72
