Théâtres,1867-02-24,1867-02-25,1867-02-26,1867-02-27,1867-02-28,1867-03-01,1867-03-02,24 - 28 fév.,1 - 2 mar.
Opéra,,7900,,8813.24,,9283.32,,16713.24,9283.32
Théâtre Français,3394,2661.5,4305,2402,4404,3144,5328,17166.5,8472
Opéra-Comique,5266.75,2994.5,4869,2778.25,4227.5,3432,2605,20136,6037
Théâtre des Italiens,665,,9272,,9630,,4601,19567,4601
Odéon,2205,1283.75,1173.25,1264,1791.5,270.75,660,7717.5,930.75
Théâtre-Lyrique,4855.5,4732,3400.5,2289.5,5423.5,2531.5,4258,20701,6789.5
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,3372.75,2013.5,1516.25,1669,1439.25,1607.75,1714.5,10010.75,3322.25
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,19759,21585.25,24536,19215.99,26915.75,20269.32,19166.5,112011.99,39435.82
