Théâtres,1867-10-13,1867-10-14,1867-10-15,1867-10-16,1867-10-17,1867-10-18,1867-10-19,13 - 19 oct.
Opéra,,10932.76,,11091.62,,14751.23,10464.75,47240.36
Théâtre Français,6350.5,4123,5928.5,4223,6080,4067.5,5658.5,36431
Opéra-Comique,7094.75,5544.5,6167,5292,5944,3850,5068,38960.25
Théâtre des Italiens,,,14659,,16553,,15886,47098
Odéon,4640,3641.75,2886,2919,2714,1023.25,2939,20763
Théâtre-Lyrique,4829,5305,6619,4240,5326.5,5156.5,6034.5,37510.5
Vaudeville,,,,,,,,0
Théâtre des Variétés,,,,,,,,0
Gymnase,3770.25,2000,,1755.75,1579.75,1932.75,1852,12890.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,26684.5,31547.01,36259.5,29521.37,38197.25,30781.23,47902.75,240893.61
