Théâtres,1867-03-17,1867-03-18,1867-03-19,1867-03-20,1867-03-21,1867-03-22,1867-03-23,17 - 23 mar.
Opéra,,10831.75,,10807.55,,10442.74,,32082.04
Théâtre Français,4557.5,3273.99,3955.5,3364,4248.5,3814.5,3238.5,26452.49
Opéra-Comique,6095.5,1000,3451.5,2061,3775.5,1776.25,3402.5,21562.25
Théâtre des Italiens,,,11464,,7748,,10036,29248
Odéon,1234.25,533.25,335,335,405,619,451.5,3913
Théâtre-Lyrique,3297,3181,1578,4304,1534,4425,2549,20868
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2428.5,2610.5,3276.75,4264.75,4554.75,4701.25,4778.5,26615
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,17612.75,21430.49,24060.75,25136.3,22265.75,25778.74,24456,160740.78
