Théâtres,1867-06-23,1867-06-24,1867-06-25,1867-06-26,1867-06-27,1867-06-28,1867-06-29,23 - 29 juin
Opéra,,11116.37,,10807.75,,11107.28,10426.63,43458.03
Théâtre Français,2481.5,5706,4037,6023,2777.5,6155.5,2388.5,29569
Opéra-Comique,3688,5746,6496,4642.5,4161,4577,3314.5,32625
Théâtre des Italiens,,,,,,,,
Odéon,831.75,1250.75,1366.5,,468.7,3159,541.75,7618.45
Théâtre-Lyrique,7461,1827,7883,2380.5,7460,4559,7389.5,38960
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,740.5,1613.75,2046.75,5525.75,1339.5,1466.5,,12732.75
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,15202.75,27259.87,21829.25,29379.5,16206.7,31024.28,24060.88,164963.23
