Théâtres,1867-09-15,1867-09-16,1867-09-17,1867-09-18,1867-09-19,1867-09-20,1867-09-21,15 - 21 sept.
Opéra,,12311.25,,11677.7,,11767.81,13252.77,49009.53
Théâtre Français,2396,4091,5899,4770.5,5764,3857,5816.5,32594
Opéra-Comique,4720.5,5360.5,6505.5,5995,5794,3857,5816.5,38049
Théâtre des Italiens,,,12713,,8932,,12231,33876
Odéon,2273,1360.75,,1369.5,1971.25,2396,3140,12510.5
Théâtre-Lyrique,3425.5,4546.5,6942,4719.5,6618,3193,7034,36478.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,,2017.75,2326.5,2501.75,1500.5,1803.5,1829.5,11979.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12815,29687.75,34386,31033.95,30579.75,26874.31,49120.27,214497.03
