Théâtres,1867-09-29,1867-09-30,1867-10-01,1867-10-02,1867-10-03,1867-10-04,1867-10-05,29 - 30 sept.,1 - 5 oct.
Opéra,,10895.76,,12161.7,,12266.31,6384.77,10895.76,30812.78
Théâtre Français,5314.5,5413,3859.5,5725.5,4379,6268,3706.5,10727.5,23938.5
Opéra-Comique,5754.25,5041.5,6365,5084.5,6222.5,6289,6000,10795.75,29961
Théâtre des Italiens,,,15093,,7065,,16284,,38442
Odéon,4362.75,3624.25,4053.5,3634.75,3637,1295,,7987,12620.25
Théâtre-Lyrique,3570.5,4761.5,3020,3606.5,3212,4125.5,6603.5,8332,20567.5
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,3170,1506.75,1300.5,1420.5,1590,2817,1748,4676.75,8876
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,22172,31242.76,33691.5,31633.45,26105.5,33060.81,40726.77,53414.76,165218.03
