Théâtres,1867-08-04,1867-08-05,1867-08-06,1867-08-07,1867-08-08,1867-08-09,1867-08-10,4 - 10 août
Opéra,,9609.27,,,,,,9609.27
Théâtre Français,2778.5,6873,3178.5,5786,,,,18616
Opéra-Comique,4568,2911,5127,,,,,12606
Théâtre des Italiens,,,,,,,,
Odéon,1554.5,1092.5,1062.75,,,,,3709.75
Théâtre-Lyrique,1807.5,2659,,,,,,4466.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1375.5,,,,,,,1375.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12084,23144.77,9368.25,5786,0,0,0,50383.02
