Théâtres,1867-08-18,1867-08-19,1867-08-20,1867-08-21,1867-08-22,1867-08-23,1867-08-24,18 - 24 août
Opéra,,11420.27,,12200.11,,10967.28,10246.68,44834.34
Théâtre Français,2404,2076.5,5384.5,2586,4648,2803,4207,24109
Opéra-Comique,3936.5,3089.5,4855,3782,4163.75,3039,2516.5,25382.25
Théâtre des Italiens,,,,,,,,
Odéon,1355.5,591.75,1024.5,902.25,1142.75,720.75,610,6347.5
Théâtre-Lyrique,2723,3768,3766,3766.5,2870,3745.5,6542.5,27181.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,897.75,593.25,1652.5,1350.25,719,806,766,6784.75
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,11316.75,21539.27,16682.5,24587.11,13543.5,22081.53,24888.68,134639.34
