Théâtres,1867-01-13,1867-01-14,1867-01-15,1867-01-16,1867-01-17,1867-01-18,1867-01-19,13 - 19 jan.
Opéra,4401.85,6931.11,,4960,,9300.53,,25593.49
Théâtre Français,4854,2626,4623.99,2840.5,1862,3446,2556.5,22808.99
Opéra-Comique,5821,2254.5,4066,1789.5,4086.5,2444.5,4287,24749
Théâtre des Italiens,,,10571,,7478,,10538,28587
Odéon,1958.75,1269.75,1492,700,673,636.5,1089.25,7819.25
Théâtre-Lyrique,3703.99,821,4080.5,951,1314,4678,3575.5,19123.99
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3516.5,2910.75,2792.5,2458.75,2308.5,2369.25,2436,18792.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,24256.09,16813.11,27625.99,13699.75,17722,22874.78,24482.25,147473.97
