Théâtres,1867-04-21,1867-04-22,1867-04-23,1867-04-24,1867-04-25,1867-04-26,1867-04-27,21 - 27 avr.
Opéra,,10271.25,,10737.4,,11237.74,8891.02,41137.41
Théâtre Français,4707.5,4619.5,4262.5,4316,4242,4618,4605.5,31371
Opéra-Comique,6175.5,7027,5844,3229,5709.5,3703,5750.5,37438.5
Théâtre des Italiens,11360,,4918,19124,5307,,4272,44981
Odéon,2011.5,1450,1046.25,1023.5,898.75,1015,4725,12170
Théâtre-Lyrique,3386.5,3550,3083.5,3122.5,,4309,1097,18548.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3237.75,4524.75,3805.25,,,,,11567.75
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,30878.75,31442.5,22959.5,41552.4,16157.25,24882.74,29341.02,197214.16
