Théâtres,1867-09-01,1867-09-02,1867-09-03,1867-09-04,1867-09-05,1867-09-06,1867-09-07,1 - 7 sept.
Opéra,,8395.76,,12116.3,,10103.81,9443.77,40059.64
Théâtre Français,1463,1959,4331.5,2214,4939.5,3020,4403.5,22330.5
Opéra-Comique,4813.5,2259,3221.5,2590,4281.75,3320,3001,23486.75
Théâtre des Italiens,,,14134,,9398,,9854,33386
Odéon,900.25,618.25,426.25,858.5,813.75,1363,925.25,5905.25
Théâtre-Lyrique,677.5,3800.5,3904,3238,1835,3990,5947,23392
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,915,689,604.75,800.5,703.75,1156.75,882.25,5147.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,8769.25,17721.51,26017.25,21817.3,21971.75,22953.56,34456.77,153707.39
