Théâtres,1867-05-19,1867-05-20,1867-05-21,1867-05-22,1867-05-23,1867-05-24,1867-05-25,19 - 25 mai
Opéra,,11500.48,,11867.21,,11834.25,12707.83,47909.77
Théâtre Français,4821,4706.5,5198.5,5347,5538,5310,5111.5,36032.5
Opéra-Comique,7012.75,6106.5,5903,6659.25,6433,6882,5130.5,44127
Théâtre des Italiens,,,,,,,1537,1537
Odéon,2446,1989.5,,2191,2602.25,,2127,11355.75
Théâtre-Lyrique,4079.5,5346.5,7919.5,6432,,6543,7752.5,38073
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2618.5,3082,3348.75,3580,3373.5,3682.75,2950.5,22636
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20977.75,32731.48,22369.75,36076.46,17946.75,34252,37316.83,201671.02
