Théâtres,1867-03-03,1867-03-04,1867-03-05,1867-03-06,1867-03-07,1867-03-08,1867-03-09,3 - 9 mar
Opéra,9706.22,11402.75,6969.43,5889.97,,6698.32,,40666.69
Théâtre Français,5052.5,5638,6234.5,3857,2490,3978.5,4093,31343.5
Opéra-Comique,6946.5,6341.5,7158,2434.5,4384.75,2385,3900,33550.25
Théâtre des Italiens,4691,,13544,,3955,,11698,33888
Odéon,1851.75,807.25,1997.5,408.75,663.75,658.5,718.5,7106
Théâtre-Lyrique,5244,6849,7013.5,2513,3438,3566.5,2641.5,31265.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3008,,3882.75,,,1261.75,1289,9441.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,36499.97,31038.5,46799.68,15103.22,14931.5,18548.57,24340,187261.44
