Théâtres,1867-10-20,1867-10-21,1867-10-22,1867-10-23,1867-10-24,1867-10-25,1867-10-26,20 - 26 oct.
Opéra,,9110.26,,19599.03,,10314.76,13103.77,52127.82
Théâtre Français,6234,4812,,4711,4368,4755,6410,31290
Opéra-Comique,7062,5662.75,6738.5,6842.5,6853,5643.7,7004,45806.45
Théâtre des Italiens,,,6275,,16170,,16041,38486
Odéon,4570.75,3558.25,3360.25,3271.75,3388.25,1538,2796.25,22483.5
Théâtre-Lyrique,4427.5,5207.5,7242,1105.5,6807,3778.5,6022,34590
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3078.75,2129,2154.25,2287.5,1917.75,1757.5,,13324.75
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,25373,30479.76,25770,37817.28,39504,27787.46,51377.02,238108.52
