Théâtres,1867-11-03,1867-11-04,1867-11-05,1867-11-06,1867-11-07,1867-11-08,1867-11-09,3 - 9 nov.
Opéra,,7804.89,,8687.45,,7079.49,5518.74,29090.57
Théâtre Français,5377.5,2673.5,4301.5,2432,4183,2007.5,4085,25060
Opéra-Comique,5738.25,3115,3203.5,2103.5,3292.5,2394,3005.5,22852.25
Théâtre des Italiens,,,13190,,3790,,9043,26023
Odéon,3569.5,2313.75,1814.5,1783,1735,596.5,2213,14025.25
Théâtre-Lyrique,3919.5,3633.5,3884,3083.5,3906,4023,3152,25601.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3285.25,1903.25,2241.5,1902,1570.25,1523.5,1219.5,13645.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,21890,21443.89,28635,19991.45,18476.75,17623.99,28236.74,156297.82
