Théâtres,1867-02-03,1867-02-04,1867-02-05,1867-02-06,1867-02-07,1867-02-08,1867-02-09,3 - 9 fév.
Opéra,,6415.53,,5902.74,,7698.4,,20016.67
Théâtre Français,3922.5,1172.5,1854.5,1949,3383,3224,3323,18828.5
Opéra-Comique,6307.5,1915,4384.5,2237,4411.5,1881,4466.5,25603
Théâtre des Italiens,,,4544,,,,5976,10520
Odéon,2325.25,1295,877.25,653.25,1621,1132.5,956,8860.25
Théâtre-Lyrique,4880,2277,,,3214.5,830,4604,15805.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3454.5,1851.25,1928,1645,1916,1901.25,1648.5,14344.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20889.75,14926.28,13588.25,12386.99,14546,16667.15,20974,113978.42
