Théâtres,1867-01-06,1867-01-07,1867-01-08,1867-01-09,1867-01-10,1867-01-11,1867-01-12,6 - 12 jan.
Opéra,2237.35,4925.69,,6789.91,,6773.9,,20726.85
Théâtre Français,3578,2613,2806,2185.5,3080.5,2469,3662.5,20394.5
Opéra-Comique,3893.25,1651.5,4149.75,1262,4291.5,2499,4985.5,22732.5
Théâtre des Italiens,,,7737,,6860,,4401,18998
Odéon,1658.25,835,922.25,1032.25,1103.25,1062.25,1508,8121.25
Théâtre-Lyrique,3163.6,5011.5,3043,3007.5,4354.5,2564.5,5421.5,26566.1
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3208.5,2376,2526.75,2917,3068.75,3028.5,2784.5,19910
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,17738.95,17412.69,21184.75,17194.16,22758.5,18397.15,22763,137449.2
