Théâtres,1867-11-10,1867-11-11,1867-11-12,1867-11-13,1867-11-14,1867-11-15,1867-11-16,10 - 16 nov.
Opéra,,5920.9,,7844.96,,8378.05,,22143.91
Théâtre Français,5035.5,1907.5,3807,1140.5,3903,2357.5,3553.5,21704.5
Opéra-Comique,6882.5,3326,2709,2736,3599,2871.5,,22124
Théâtre des Italiens,,,6573,,,,,6573
Odéon,3777.25,2103.25,1904.75,1888.25,1828,613.25,,12114.75
Théâtre-Lyrique,3173.5,3699,3800.5,3535.5,3289,4954.5,,22452
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3217.5,844,1343,,986.25,,,6390.75
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,22086.25,17800.65,20137.25,17145.21,13605.25,19174.8,3553.5,113502.91
