Théâtres,1867-04-07,1867-04-08,1867-04-09,1867-04-10,1867-04-11,1867-04-12,1867-04-13,7 - 13 avr.
Opéra,,8096.75,,8261.38,,9709.73,,26067.86
Théâtre Français,3531,1828.5,3136.5,1839.5,3633.5,1934.5,3978.5,19882
Opéra-Comique,5295,1548.5,3165,2068,3249.5,1823,2799,19948
Théâtre des Italiens,8338,,11217,,4049,,13602,37206
Odéon,617,1450.25,1181.25,1141.5,1200.5,239.25,1275.75,7105.5
Théâtre-Lyrique,3740.5,2229,2861.5,2198,2166,3600.5,1615.5,18411
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2561.25,4623,4620.75,4341.75,4181,4362.5,4205,28895.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,24082.75,19776,26182,19850.13,18479.5,21669.48,27475.75,157515.61
