Théâtres,1867-08-25,1867-08-26,1867-08-27,1867-08-28,1867-08-29,1867-08-30,1867-08-31,25 - 31 août
Opéra,,8226.67,,10760.7,,12089.31,7330.18,38406.86
Théâtre Français,1506.5,3646,2843.5,4759,2567,4733.5,2076.5,22132
Opéra-Comique,2025.5,2041,4377.5,3563.5,4213.25,3438,2143,21801.75
Théâtre des Italiens,,,,,,,,
Odéon,741.5,452.25,832.5,855,938.75,830.5,585.25,5235.75
Théâtre-Lyrique,1187.5,2024,6382,2365.5,6081.5,2733.5,4501.5,25275.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,707.75,682.25,1323.75,1105.75,1158,1211.75,409.75,6599
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,6168.75,17072.17,15759.25,23409.45,14958.5,25036.56,17046.18,119450.86
