Théâtres,1867-09-08,1867-09-09,1867-09-10,1867-09-11,1867-09-12,1867-09-13,1867-09-14,8 - 14 sept.
Opéra,,8565.78,,10453.2,,12336.31,9640.27,40995.56
Théâtre Français,1631.5,3077.5,5291.5,3310,5619.5,4036.5,5270,28236.5
Opéra-Comique,3918,,4825.5,3349.25,5026.5,4849,5059.5,27027.75
Théâtre des Italiens,,,13161,,14736,,11986,39883
Odéon,1107.5,1005.25,1126.5,957,961,1232.75,1065,7455
Théâtre-Lyrique,1765,3905.5,6408,3596,6564,4118.5,6199.5,32556.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,1544.21,873.75,1054.75,1166,1031.5,1602.5,,7272.71
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,9966.21,17427.78,31867.25,22831.45,33938.5,28175.56,39220.27,183427.02
