Théâtres,1867-06-02,1867-06-03,1867-06-04,1867-06-05,1867-06-06,1867-06-07,1867-06-08,2 - 8 juin
Opéra,,9001.98,30000,9579.91,,,12891.4,61473.29
Théâtre Français,2060.5,4136,5456.5,3942,2414,4687,4627.5,27323.5
Opéra-Comique,2459,6608.5,3593,6022,4024,6452,5622,34780.5
Théâtre des Italiens,,,,,,,,0
Odéon,527.25,1397.25,1351,828.5,1320,1289.5,1269.75,7983.25
Théâtre-Lyrique,908,7828.5,2818,7654,7816,3542,7775.5,38342
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,554.5,1934.75,2337.75,1972.75,1933.5,2321,1691.25,12745.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,6509.25,30906.98,45556.25,29999.16,17507.5,18291.5,33877.4,182648.04
