Théâtres,1867-01-20,1867-01-21,1867-01-22,1867-01-23,1867-01-24,1867-01-25,1867-01-26,20 - 26 jan.
Opéra,3211.85,6863.61,,7490.91,,6620.99,,24187.36
Théâtre Français,3518.5,1995,1221,2869.5,2254,3431.5,3823,19112.5
Opéra-Comique,5851,1670,2653,1973.5,4439,3367,6021,25974.5
Théâtre des Italiens,699,,6439,,9074,,4659,20871
Odéon,1546.5,916,768,924.5,988.5,401,1843,7387.5
Théâtre-Lyrique,2042.5,815.5,2500.5,1237,,1589,5200,13384.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3058,1421.5,2058.5,2321.99,2352.25,2260.75,3669.25,17142.24
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,19927.35,13681.61,15640,16817.4,19107.75,17670.24,25215.25,128059.6
