Théâtres,1867-10-06,1867-10-07,1867-10-08,1867-10-09,1867-10-10,1867-10-11,1867-10-12,6 - 12 oct.
Opéra,,11863.76,,12217.7,,8128.81,10600.27,42810.54
Théâtre Français,6125,4660,6236,4185.5,6282.5,4509,6129,38127
Opéra-Comique,7044.25,3601,6436,5529.75,5774,5241.5,5607.5,39234
Théâtre des Italiens,,,7122,,16249,,15172,38543
Odéon,4645.5,3203.25,3464,3054,2892.5,813.75,3174.75,21247.75
Théâtre-Lyrique,5079,4882.5,7404,4700.5,6675,5305.5,6819,40865.5
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,3717.25,1944.5,1960.5,1758.5,1768.5,,1781.25,12930.5
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,26611,30155.01,32622.5,31445.95,39641.5,23998.56,49283.77,233758.29
