An 1867 - Mai,,,,,,,
Théâtres,Semaines,,,,,,Total mois
Opéra,27222.02,32585.47,43824.25,47909.77,34430.36,,185971.87
Théâtre Français,13004.5,15982,29721.1,36032.5,26202.5,,120942.6
Opéra-Comique,14212.25,18830.25,33319.2,44127,27193.75,,137682.45
Théâtre des Italiens,,,,1537,2138,,3675
Odéon,3393.75,2364.5,7675.5,11355.75,8684.95,,33474.45
Théâtre-Lyrique,21053,33771,35675,38073,28759,,157331
Vaudeville,,,,,,,
Théâtre des Variétés,,,,,,,
Gymnase,14311.75,7194.5,20635.25,22636,12024.5,,76802
Palais-Royal,,,,,,,
Porte Saint-Martin,,,,,,,
Gaîté,,,,,,,
Ambigu-Comique,,,,,,,
Théâtre Impérial du Cirque,,,,,,,
Folies-Dramatiques,,,,,,,
Délassement Comiques,,,,,,,
Luxembourg,,,,,,,
Beaumarchais,,,,,,,
Total,93197.27,110727.72,170850.3,201671.02,139433.06,,715879.37
