Théâtres,1867-04-14,1867-04-15,1867-04-16,1867-04-17,1867-04-18,1867-04-19,1867-04-20,14 - 20 avr.
Opéra,,7835.75,,8858.38,,,,16694.13
Théâtre Français,,,,,,,,0
Opéra-Comique,4672,2348,1647.5,2788,,,,11455.5
Théâtre des Italiens,,,15664,,4107,,4535,24306
Odéon,1947.75,1071.5,1224.75,962.75,,,,5206.75
Théâtre-Lyrique,1794,2103.5,1011,1910.5,,,,6819
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4070.5,3683,4221,3802,3219.75,,3280.75,22277
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,12484.25,17041.75,23768.25,18321.63,7326.75,0,7815.75,86758.38
