An 1867,,,,,,,
Mois,Semaines,,,,,,Total mois
Janvier,118708.44,137449.2,147473.97,128059.6,96465.94,,628157.15
Février,38252.4,113978.42,149202.41,151538.17,112011.99,,564983.39
Mars,39435.82,187261.44,139987.82,160740.78,191944.48,19634.75,739005.09
Avril,139782.98,157515.61,86758.38,197214.16,50464.5,,631735.63
Mai,93197.27,110727.72,170850.3,201671.02,139433.06,,715879.37
Juin,22989.14,182648.04,166745.26,149685.42,164963.23,,687031.09
Juillet,,,,,,,0
Août,,50383.02,,134639.34,119450.86,,304473.22
Septembre,153707.39,183427.02,214497.03,230163.88,53414.76,,835210.08
Octobre,165218.03,233758.29,240893.61,238108.52,159484.67,,1037463.12
Novembre,56504.25,156297.82,113502.91,,,,326304.98
Décembre,,,,,,,0
Total an,827795.72,1513446.58,1429911.69,1591820.89,1087633.49,19634.75,6470243.12
