Théâtres,1867-02-17,1867-02-18,1867-02-19,1867-02-20,1867-02-21,1867-02-22,1867-02-23,17 - 23 fév.
Opéra,,7002.02,,,,7576.9,,14578.92
Théâtre Français,4382.5,1756,4164,3543.5,4214,3194.5,4677,25931.5
Opéra-Comique,6324,3697,1823.5,5103.5,3486.5,4790.5,,25225
Théâtre des Italiens,,,11297,,9730,,13196,34223
Odéon,2366.5,1417,1228,1400.75,1319.5,747,1060.75,9539.5
Théâtre-Lyrique,4552,3322.5,3047.5,3096.5,3331,3247,4356.5,24953
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,2706.25,7814,1574.75,1469.25,,1590.75,1932.25,17087.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,20331.25,25008.52,23134.75,14613.5,22081,21146.65,25222.5,151538.17
