Théâtres,1867-10-27,1867-10-28,1867-10-29,1867-10-30,1867-10-31,1867-11-01,1867-11-02,27 - 31 oct.,1 - 2 nov.
Opéra,,10083.39,,9482.53,8975.5,10704.75,,28541.42,10704.75
Théâtre Français,7024.5,4623,6106,4140.5,5234,4569,2978.5,27128,7547.5
Opéra-Comique,7258,6481,6606,6471,4258.5,6708.5,5219.5,31074.5,11928
Théâtre des Italiens,,,16243,,9971,1235,9709,26214,10944
Odéon,4099.5,3032.75,2892,2652.75,2171.75,3642.75,1094.5,14848.75,4737.25
Théâtre-Lyrique,4809.5,4286,6850.5,3758.5,4767.5,,5052,24472,5052
Vaudeville,,,,,,,,,
Théâtre des Variétés,,,,,,,,,
Gymnase,2117,2128,,1434.5,1526.5,3240.5,2350.25,7206,5590.75
Palais-Royal,,,,,,,,,
Porte Saint-Martin,,,,,,,,,
Gaîté,,,,,,,,,
Ambigu-Comique,,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,,
Folies-Dramatiques,,,,,,,,,
Délassement Comiques,,,,,,,,,
Luxembourg,,,,,,,,,
Beaumarchais,,,,,,,,,
Total,25308.5,30634.14,38697.5,27939.78,36904.75,30100.5,26403.75,159484.67,56504.25
