Théâtres,1867-06-16,1867-06-17,1867-06-18,1867-06-19,1867-06-20,1867-06-21,1867-06-22,16 - 22 juin
Opéra,,11162.06,,,,9879.28,12353.33,33394.67
Théâtre Français,4590.5,3557.5,5011,3362.5,2725,3522,5290,28058.5
Opéra-Comique,4892,5990.5,6190.25,4445.5,5020,4130,3820,34488.25
Théâtre des Italiens,,,2743,351,,2678,,5772
Odéon,1841,1159.25,996.5,752,827.5,588.5,956,7120.75
Théâtre-Lyrique,2886.5,2823,7790,2248,7654,2461.5,1783,27646
Vaudeville,,,,,,,,
Théâtre des Variétés,,,,,,,,
Gymnase,4200.25,2386.75,2173.25,1746.5,,1349.25,1349.25,13205.25
Palais-Royal,,,,,,,,
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,,,,,,,,
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,,,,,,,,
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
Total,18410.25,27079.06,24904,12905.5,16226.5,24608.53,25551.58,149685.42
