Théâtres;1858-11-12;1858-11-13;1858-11-14;1858-11-15;1858-11-16;1858-11-17;1858-11-18;12 - 18 nov.
Opéra;;;;;;;;
Théâtre Français;3.251,90;1.984,40;4.237,30;3.107,40;2.599,50;1.584,70;3.276,20;20.041,40
Opéra-Comique;3.326,00;1.348,00;4.049,00;1.604,50;1.375,50;1.247,00;1.947,00;14.897,00
Théâtre des Italiens;;8.154,00;;;7.264,80;;5.345,00;20.763,80
Odéon;828,75;1.130,00;1.431,25;406,25;395,00;1.286,00;1.175,75;6.653,00
Théâtre-Lyrique;1.077,50;5.027,75;2.527,75;;4.116,50;754,00;4.705,75;18.209,25
Vaudeville;890,50;949,00;1.765,00;877,50;467,00;558,50;402,50;5.910,00
Théâtre des Variétés;;1.784,00;3.061,00;1.766,50;1.592,50;1.377,00;1.654,00;11.235,00
Gymnase;;;;;;;;
Palais-Royal;1.703,75;2.110,50;3.201,75;2.205,50;1.915,50;2.406,75;2.015,25;15.559,00
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;3.257,05;3.101,10;3.817,90;3.705,50;3.401,40;3.300,90;3.239,30;23.823,15
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;535,05;1.597,60;2.051,50;981,55;1.009,60;724,90;709,30;7.609,50
Délassement Comiques;355,85;408,45;893,25;356,60;247,45;218,05;212,45;2.692,10
Luxembourg ;;;;;;;;
Folies  Nouvelles;402,00;506,00;903,00;;;1.608,50;576,00;3.995,50
Total;15.628,35;28.100,80;27.938,70;15.011,30;24.384,75;15.066,30;25.258,50;151.388,70
;;;;;;;;
