Théâtres;1858-11-19;1858-11-20;1858-11-21;1858-11-22;1858-11-23;1858-11-24;1858-11-25;19 - 25 nov.
Opéra;;;;;;;;
Théâtre Français;2.720,80;3.756,50;4.752,60;2.005,20;3.414,80;3.132,50;3.548,00;23.330,40
Opéra-Comique;2.396,00;1.626,25;5.244,50;649,00;2.591,75;1.486,25;1.154,00;15.147,75
Théâtre des Italiens;;4.964,50;;6.718,00;5.885,50;;6.170,15;23.738,15
Odéon;1.524,00;1.645,50;1.618,25;1.735,00;1.341,00;1.237,75;1.263,50;10.365,00
Théâtre-Lyrique;957,25;4.936,75;2.677,50;4.416,25;4.645,50;964,75;5.028,50;23.626,50
Vaudeville;;;;1.137,50;1.991,00;;2.659,00;5.787,50
Théâtre des Variétés;2.002,00;2.274,50;3.302,00;1.821,50;1.759,00;1.964,50;1.868,50;14.992,00
Gymnase;;;;;;;;
Palais-Royal;2.412,00;2.312,50;3.400,75;1.917,00;2.328,75;2.101,50;2.001,75;16.474,25
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;3.506,95;3.135,15;3.811,95;3.621,15;3.409,40;3.314,75;3.400,90;24.200,25
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;1.007,80;909,60;;1.231,35;909,15;705,05;946,25;5.709,20
Délassement Comiques;217,95;268,65;890,85;277,60;184,65;;242,30;2.082,00
Luxembourg ;;;;;;;;
Folies  Nouvelles;701,50;758,50;1.747,45;558,00;613,50;614,50;552,25;5.545,70
Total;17.446,25;26.588,40;27.445,85;26.087,55;29.074,00;15.521,55;28.835,10;170.998,70
;;;;;;;;
