Théâtres;1858-09-22;1858-09-23;1858-09-24;1858-09-25;1858-09-26;1858-09-27;1858-09-28;22 - 28 sept.
Opéra;;;;;;;;
Théâtre Français;974,70;1.835,50;1.080,60;2.523,80;1.728,50;1.572,20;1.704,00;11.419,30
Opéra-Comique;2.519,50;2.631,00;3.093,75;2.110,50;3.054,00;1.544,00;2.624,50;17.577,25
Théâtre des Italiens;;;;;;;;
Odéon;472,25;512,75;772,25;593,25;1.358,00;525,00;571,00;4.804,50
Théâtre-Lyrique;772.50;5.214,25;920,75;5.187,50;1.960,00;4.858,00;4.879,75;23.020,25
Vaudeville;;;;;;860,00;803,00;1.663,00
Théâtre des Variétés;2.596,50;3.152,50;3.091,50;2.683,00;2.825,50;2.603,50;2,778,50;16.952,50
Gymnase;;;;;;;;
Palais-Royal;805,00;920,50;916,25;1.712,75;;1.367,00;1.300,00;7.021,50
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;1.604,30;1.800,25;1.861,25;1.724,35;2.946,50;2.017,80;2.000,75;13.955,20
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;1.889,50;1.005,25;1.000,45;882,15;1.830,95;948,10;933,75;8.490,15
Délassement Comiques;;;;;;;;
Luxembourg ;;;;;;;;
Folies  Nouvelles;251,75;430,50;731,50;528,75;828,50;;431,25;3.202,25
Total;11.113,50;17.502,50;13.468,30;17.946,05;16.531,95;16.295,60;15.248,00;108.105,90
;;;;;;;;
