Théâtres;1858-10-22;1858-10-23;1858-10-24;1858-10-25;1858-10-26;1858-10-27;1858-10-28;22 - 28 oct.
Opéra;;;;;;;;
Théâtre Français;1.788,70;3.405,70;4.111,50;2.662,00;2.783,40;1.333,30;2.550,80;18.635,40
Opéra-Comique;2.236,00;2.905,50;5.029,50;2.048,75;1.468,00;2.182,25;1.413,00;17.283,00
Théâtre des Italiens;;5.747,90;;;7.021,40;;4.779,15;17.548,45
Odéon;486,75;560,00;2.333,75;630,25;854,75;542,75;515,50;5.923,75
Théâtre-Lyrique;1.406,50;5.118,25;2.784,50;4.728,50;4.856,75;1.206,25;4.491,50;24.592,25
Vaudeville;1.358,00;887,00;2.573,00;775,00;814,50;;720,50;7.128,00
Théâtre des Variétés;2.516,00;2.263,00;3.216,00;2.046,50;2.156,50;2.315,00;2.352,50;16.865,50
Gymnase;;;;;;;;
Palais-Royal;2.312,00;2.103,70;3.007,00;2.105,25;1.804,75;2.007,20;1.908,25;15.248,15
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;1.741,45;1.454,05;3.201,55;1.902,90;1.591,75;1.299,40;1.212,50;12.403,60
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;1.071,65;1.005,90;2.195,20;1.378,10;945,40;920,15;655,00;8.171,40
Délassement Comiques;350,35;;1.130,95;511,65;332,95;;197,75;2.523,65
Luxembourg ;;;;;;;;
Folies  Nouvelles;482,00;463,00;1.605,75;484,25;408,00;402,75;512,25;4.358,00
Total;15.749,40;25.914,00;31.188,70;19.273,15;25.038,15;12.209,05;21.308,70;150.681,15
;;;;;;;;
