Théâtres;1858-10-08;1858-10-09;1858-10-10;1858-10-11;1858-10-12;1858-10-13;1858-10-14;8 - 14 oct.
Opéra;;;;;;;;
Théâtre Français;1.404,30;2.470,80;3.446,60;1.663,50;1.469,70;2.894,50;3.419,20;16.768,60
Opéra-Comique;1.356,50;2.318,50;2.163,00;1.134,50;2.628,50;2.545,50;2.643,00;14.789,50
Théâtre des Italiens;;6.848,00;;;4.501,00;;4.876,50;16.225,50
Odéon;539,50;376,50;2.242,50;690,50;327,75;292,25;324,00;4.793,00
Théâtre-Lyrique;1.341,50;5.178,75;2.616,50;4.789,50;4.778,00;1.523,00;5.059,25;25.286,50
Vaudeville;1.622,50;1.081,00;2.038,50;1.106,00;980,50;1.211,00;1.145,00;9.184,50
Théâtre des Variétés;3.029,00;2.626,50;3.208,00;2.689,00;2.790,00;2.661,00;2.566,00;19.569,50
Gymnase;;;;;;;;
Palais-Royal;2.021,50;1.845,75;2.604,50;2.012,25;1.719,00;1.904,50;1.923,35;14.030,85
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;2.043,25;1.600,90;3.132,70;2.251,45;2.001,40;1.667,65;1.538,80;14.236,15
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;686,95;681,60;1.982,75;1.095,05;975,70;815,10;819,30;7.056,45
Délassement Comiques;446,75;489,40;1.053,05;537,20;552,45;461,50;432,20;3.972,55
Luxembourg ;;;;;;;;
Folies  Nouvelles;501,50;408,50;1.235,00;472,00;383,25;269,00;470,00;3.739,25
Total;14.993,25;25.926,20;25.723,10;18.440,95;23.107,25;16.245,00;25.216,60;149.652,35
;;;;;;;;
