Théâtres;1858-09-15;1858-09-16;1858-09-17;1858-09-18;1858-09-19;1858-09-20;1858-09-21;15 - 21 sept.
Opéra;;;;;;;;
Théâtre Français;1.432,20;1.526,90;2.754,90;1.663,40;3.535,80;1.561,30;2.276,00;14.750,50
Opéra-Comique;1.447,75;3.009,00;2.252,00;3.253,50;3.106,50;2.791,00;1.837,50;17.697,25
Théâtre des Italiens;;;;;;;;
Odéon;537,50;527,75;591,75;705,75;1.831,00;673,25;619,50;5.486,50
Théâtre-Lyrique;968,50;929,75;1.134,50;5.192,00;2.199,50;1.741,75;5.259,50;17.425,50
Vaudeville;;;;;1.424,50;;;1.424,50
Théâtre des Variétés;2.888,50;3.000,50;3.029,00;3.221,00;3.683,50;3.267,50;3.147,50;22.237,50
Gymnase;;;;;;;;
Palais-Royal;814,70;544,95;1.200,50;909,70;;1.006,00;849,75;5.325,60
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;1.714,95;1.719,40;2.104,85;1.833,05;3.211,00;2.359,80;2.275,20;15.218,25
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;721,90;630,20;981,65;866,60;1.947,95;1.001,40;1.060,30;7.210,00
Délassement Comiques;;;;;;;;
Luxembourg ;;;;;;;;
Folies  Nouvelles;251,75;250,00;406,75;621,75;863,50;409,00;403,00;3.205,75
Total;10.777,75;12.138,45;14.455,90;18.266,75;21.803,25;14.811,00;17.728,25;109.981,35
;;;;;;;;
