Théâtres;1858-10-15;1858-10-16;1858-10-17;1858-10-18;1858-10-19;1858-10-29;1858-10-21;15 - 21 oct.
Opéra;;;;;;;;
Théâtre Français;1.822,90;3.178,50;3.738,10;1.388,50;3.049,80;3.226,30;2.638,50;19.042,60
Opéra-Comique;2.017,25;2.390,00;3.808,50;2.430,25;3.419,00;2.832,00;3.985,00;20.882,00
Théâtre des Italiens;;4.478,90;;;4.680,50;;7.346,60;16.506,00
Odéon;829,25;414,50;1.393,25;414,75;386,25;496,75;506,25;4.441,00
Théâtre-Lyrique;1.400,50;5.125,75;2.770,75;906,00;5.073,00;1.273,25;5.209,00;21.758,25
Vaudeville;1.079,50;875,00;2.055,00;961,00;1.146,00;1.083,00;1.188,00;8.387,50
Théâtre des Variétés;2.605,00;2.368,00;3.268,50;2.547,00;2.721,00;2.455,50;2.515,00;18.480,00
Gymnase;;;;;;;;
Palais-Royal;2.021,00;1.906,00;2.602,50;2.007,00;2.403,00;2.028,75;2.219,50;15.187,75
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;1.437,75;1.501,00;3.002,40;1.822,00;1.806,35;1.802,00;2.036,05;13.407,55
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;901,10;1.962,15;2.045,35;1.319,95;1.280,75;1.008,40;1.175,40;9.693,10
Délassement Comiques;;;;533,20;424,30;338,05;452,25;1.747,80
Luxembourg ;;;;;;;;
Folies  Nouvelles;342,25;772,50;1.286,75;508,75;728,25;504,00;552,75;4.695,25
Total;14.456,50;24.972,30;25.971,10;14.838,40;27.118,20;17.048,00;29.824,30;154.228,80
;;;;;;;;
