Théâtres;1858-12-08;1858-12-09;1858-12-10;1858-12-11;1858-12-12;1858-12-13;1858-12-14;8 - 14 déc.
Opéra;;;;;;;;
Théâtre Français;2.271,10;3.495,60;3.459,70;3.021,00;4.205,90;2.538,40;2.515,70;21.507,40
Opéra-Comique;;1.680,00;1.744,00;1.319,00;5.618,50;1.297,00;1.477,00;13.135,50
Théâtre des Italiens;;6.904,20;;8.181,80;3.440,00;;8.382,60;26.908,60
Odéon;1.125,25;1.008,00;884,00;1.019,50;1.472,00;1.017,75;614,50;7.141,00
Théâtre-Lyrique;1.294,75;5.013,75;1.207,75;500,75;3.045,00;4.001,25;3.478,75;18.542,00
Vaudeville;4.200,50;4.125,00;4.016,50;4.023,15;4.236,00;3.714,00;3.741,50;28.056,65
Théâtre des Variétés;1.553,50;1.212,50;1.181,50;2.516,00;2.768,50;955,50;1,00;10.188,50
Gymnase;;;;;;;;
Palais-Royal;1.749,75;2.102,00;1.940,50;1.943,00;2.905,00;1.801,00;1.807,75;14.249,00
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;3.300,60;3.202,40;3.108,30;;;3.160,50;2.748,90;15.520,70
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;712,90;774,20;628,70;612,00;1.975,80;674,60;463,15;5.841,35
Délassement Comiques;;314,00;;;;330,85;313,05;957,90
Luxembourg ;;;;;;;;
Folies  Nouvelles;;517,75;361,35;362,25;;302,00;275,75;1.819,10
Total;16.208,35;30.349,40;18.532,30;23.498,45;29.666,70;19.792,85;25.819,65;163.867,70
;;;;;;;;
