Théâtres;1858-09-08;1858-09-09;1858-09-10;1858-09-11;1858-09-12;1858-09-13;1858-09-14;8 - 14 sept.
Opéra;;;;;;;;
Théâtre Français;1.803,10;2.138,10;2.089,10;1.593,60;1.957,50;1.739,00;2.064,10;13.384,50
Opéra-Comique;1.978,00;2.019,25;2.991,50;912,50;2.772,00;921,00;2.301,50;13.895,75
Théâtre des Italiens;;;;;;;;
Odéon;521,50;609,25;607,25;521,50;939,50;501,50;561,75;4.262,25
Théâtre-Lyrique;1.160,00;5.185,75;809,50;1.148,25;1.585,50;5.034,75;4.908,00;19.831,75
Vaudeville;;;;;;;;
Théâtre des Variétés;3.465,00;3.613,50;3.300,00;3.200,00;2.818,00;2.879,00;2.489,00;21.764,50
Gymnase;;;;;;;;
Palais-Royal;1.126,45;1.004,25;804,25;1.907,80;720,70;604,50;502,70;6.670,65
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;2.020,40;1.926,00;2.005,00;1.802,05;2.707,08;2.005,80;1.635,55;14.101,88
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;;;;;1.095,70;772,80;775,10;2.643,60
Délassement Comiques;;;;;;;;
Luxembourg;;;;;;;;
Folies  Nouvelles;460,25;471,75;;200,25;487,75;279,00;265,00;2.164,00
Total;12.534,70;16.967,85;12.606,60;11.285,95;15.083,73;14.737,35;15.502,70;98.718,88
;;;;;;;;
