Théâtres;1858-12-01;1858-12-02;1858-12-03;1858-12-04;1858-12-05;1858-12-06;1858-12-07;1 - 7 déc.
Opéra;;;;;;;;
Théâtre Français;3.153,20;2.391,40;3.776,20;2.987,20;4.179,40;2.476,60;3.029,20;21.993,20
Opéra-Comique;1.028,00;1.322,00;1.949,00;2.473,50;3.531,50;1.251,00;1.443,00;12.998,00
Théâtre des Italiens;;6.333,20;;7.119,00;7.101,00;;7.531,75;28.084,95
Odéon;1.224,75;1.251,25;1.130,25;1.248,00;2.247,50;1.283,50;1.245,25;9.630,50
Théâtre-Lyrique;1.030,75;4.830,00;1.180,50;5.200,00;2.565,75;4.709,25;4.563,75;24.080,00
Vaudeville;4.212,00;4.112,50;4.186,00;4.186,00;4.415,50;4.007,50;4.162,00;29.281,50
Théâtre des Variétés;1.677,50;1.727,00;1.670,00;2.201,00;3.135,50;1.342,00;1.024,00;12.777,00
Gymnase;;;;;;;;
Palais-Royal;1.603,00;1.416,75;1.703,75;1.928,50;2.816,00;1.605,75;3.444,00;14.517,75
Porte Saint-Martin;;;;;;;;
Gaîté;;;;;;;;
Ambigu-Comique;3.302,40;3.407,85;3.218,65;3.301,30;3.909,65;3.537,50;3.301,40;23.978,75
Théâtre Impérial du Cirque;;;;;;;;
Folies-Dramatiques;934,75;690,85;726,15;848,60;2.113,95;1.214,35;2.315,45;8.844,10
Délassement Comiques;549,55;431,80;539,55;;1.082,20;;361,60;2.964,70
Luxembourg ;;;;;;;;
Folies  Nouvelles;;400,00;;2.255,00;1.150,25;;416,25;4.221,50
Total;18.715,90;28.314,60;20.080,05;33.748,10;38.248,20;21.427,45;32.837,65;193.371,95
;;;;;;;;
