Place;Address;Arrondissement;Frequency; Coordinates; Type of place
Auteuil;27 – 29 bis rue Chardon-Lagache;16;11;48.84382, 2.265819;Gavarni’s Home
Bains Chinois ;29 Boulevard des Italiens ;2;1;48.870928, 2.335123;Thermal Baths
Bal de l'Ermitage;6 Boulevard de Clichy;18;2;48.882449, 2.339059;Dance Establishement 
Bal Mabille;49 Avenue Montaigne;8;14;48.867762, 2.307305;Dance Establishement
Bois de Boulogne;Bois de Boulogne;16;2;48.86244, 2.249173;Public Park
Bon Marché;24 Rue de Sèvres;7;1;48.851026, 2.324509;Market
Bordel des Deux Boules;Rue des Deux Boules;1;1;48.859124, 2.345216;Brothel
Bullier;31 Avenue Georges-Bernanos;5;1;48.840475, 2.337716;Dance Establishement
Cercle des Ganaches;16 Boulevard Montmartre;9;1;48.87198, 2.341263;Club
Château des Fleurs;Avenue Montaigne;8;1;48.867092, 2.306204;Public Park
Chaumière ;120 bis Boulevard du Montparnasse;14;1;48.84142, 2.330727;Dance Establishement
Chevet;220 Galerie de Chartres;1;1;48.863722, 2.336607;Warehouse
Cimetière Montmartre;20 Avenue Rachel;18;2;48.885886, 2.331885;Cemetery
Collège Rollin;12 Avenue Trudaine;9;2;48.881534, 2.344391;College
Conciergerie;2 Boulevard du Palais;1;2;48.855716, 2.345974;Prison
Diorama-Historique;Carré Marigny;8;1;48.869229, 2.313718;Museum
Divan Le Peletier;5 Rue Lepeletier;9;3;48.872285, 2.338338;Coffee
Dourlans;39 Avenue de Wagram;17;1;48.877209, 2.296827;Dance Establishement
Drouot (Hôtel);9 Rue Drouot;9;1;48.873009, 2.340319;Public Auction
Élysée-Montmartre;72 Boulevard de Rochechouart;18;1;48.883014, 2.343663;Dance Establishement
Hôpital de la Charité;45 Rue des Saints-Pères;6;4;48.855489, 2.331389;Hospital
Hotel de Ville;Place de l'Hôtel-de-Ville;4;1;48.856483, 2.352414;City Palace
Hôtel-dieu;1 Parvis Notre-Dame;4;1;48.853954, 2.348331;Hospital
Jardin des plantes;57 Rue Cuvier;5;3;48.844343, 2.35621;Public Park
Jockey-Club;1 Rue Scribe;9;1;48.870763, 2.32976;Club
Les Petits-Menages;Rue de Sèvres;7;1;48.848547, 2.320775;Hospital
Louvre;Rue de Rivoli;1;5;48.860418, 2.342363;Museum
Montagnes Russes;9 Rue Saint-Honoré;8;1;48.868507, 2.322182;Warehouse
Moutard's Club;Rue Royale;8;1;48.868144, 2.323094;Club
Musée Campana (Louvre);Rue de Rivoli;1;5;48.860418, 2.342363;Museum
Opéra (bal);12 Rue Le Peletier;9;18;48.872755, 2.338658;Dance Establishement
Palais de l'Industrie;Champs-Élysées;8;3;48.865784, 2.307314;Public Building
Potel et Chabot;Rue Notre Dame de Lorette;9;2;48.878696, 2.337217;Shop
Prado;Boulevard du Palais;4;1;48.855236, 2.345847;Dance Establishement
Prison de La Force;22 Rue Pavée;4;1;48.856941, 2.361549;Prison
Salle Montesquieu;6 Rue Montesquieu;1;1;48.863327, 2.339062;Dance Establishement
Salpêtrière;47-83 Boulevard de l'Hôpital;13;1;48.837455, 2.361391;Hospital
Valentino;251 Rue Saint-Honoré;1;1;48.866992, 2.327026;Dance Establishement
