Théâtres,1864-07-10,1864-07-11,1864-07-12,1864-07-13,1864-07-14,1864-07-15,1864-07-16,10 - 16 juil.
Opéra,,7288.29,,7075.95,,6710.85,,21075.09
Théâtre Français,1174.1,1167.7,1684.1,1776.4,1612.1,1142.5,1434.5,9991.4
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,,908.5,655,644,669,484,648,4008.5
Théâtre des Variétés,1242.5,419,560,792.5,653,590,769.1,5026.1
Gymnase,989.25,542.5,,384.75,,,348,2264.5
Palais-Royal,819.25,516.65,401.9,531.7,413.4,313.4,610.9,3607.2
Porte Saint-Martin,1499.75,839.75,990,866,841,752.25,,5788.75
Gaîté,,,,,,,,0
Ambigu-Comique,706.5,,529.75,705,715.5,508.5,503,3668.25
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,798.5,439.75,315.55,491.65,329.5,347.45,372.35,3094.75
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,7229.85,12122.14,5136.3,13267.95,5233.5,10848.95,4685.85,58524.54
