Théâtres,1864-02-14,1864-02-15,1864-02-16,1864-02-17,1864-02-18,1864-02-19,1864-02-20,14 - 20 fév.
Opéra,6574.86,7094.09,,9064.93,,7151.19,,29885.07
Théâtre Français,3612.5,1552.6,2604,2240.1,2246.7,1724.9,1946.1,15926.9
Opéra-Comique,5283.5,3200.75,3947.75,2088.5,4250,3463.5,8086.5,30320.5
Théâtre des Italiens,,,,,,,,
Odéon,1768.5,1026.25,688.5,803,692.75,362.5,857.75,6199.25
Théâtre-Lyrique,4146,4505,3232.5,4903.5,3117.5,5227,3654,28785.5
Vaudeville,1669.5,596,,782,638.5,754,755,5195
Théâtre des Variétés,3245,1477,1279,1572.5,1142.5,1682,1142,11540
Gymnase,3009.25,1820.5,1900.25,1900,1734.5,2202.75,2240.5,14807.75
Palais-Royal,3115.5,2350.25,,2315.25,2106.75,2315.5,2407.25,14610.5
Porte Saint-Martin,3739,,,,,,2526,6265
Gaîté,5706.75,5389.75,5426.75,5321.25,5404.5,5375.5,5272.25,37896.75
Ambigu-Comique,3714.75,3003,2809.25,2704.5,4700.25,2517.25,2102.5,21551.5
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,2381.25,1114.8,926.2,913.95,866.25,635.85,704.5,7542.8
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,47966.36,33129.99,22814.2,34609.48,26900.2,33411.94,31694.35,230526.52
