Théâtres,1864-03-20,1864-03-21,1864-03-22,1864-03-23,1864-03-24,1864-03-25,1864-03-26,20 - 26 mar.
Opéra,,8823.09,,6395.23,,,,15218.32
Théâtre Français,2460,2241.9,2981.3,1955.7,,,,9638.9
Opéra-Comique,4518.7,3113,1940.5,2403.5,,,,11975.7
Théâtre des Italiens,,,,,,,,
Odéon,5038.5,4985.5,4923,4865.75,,,,19812.75
Théâtre-Lyrique,2643.99,3674.5,1124.5,4805.5,,,3576,15824.49
Vaudeville,1579.5,776,705.5,780,928,,1410,6179
Théâtre des Variétés,2869,2159,2045,2114,2109,,2155,13451
Gymnase,2001.5,2002.25,2002,1871.5,1774.75,,1545.5,11197.5
Palais-Royal,3664.25,3440.75,3501.75,3421.75,3240,,3409.25,20677.75
Porte Saint-Martin,1862.25,,,,3240,,2867.5,7969.75
Gaîté,4129.25,2760.5,2968.75,2268,2673.5,,1633.5,16433.5
Ambigu-Comique,2334.25,1202.5,1234,1102,1148.75,,709.25,7730.75
Théâtre Impérial du Cirque,,,,,,,,0
Folies-Dramatiques,1492.15,688.3,654.25,531.3,590.3,,,3956.3
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,34593.34,35867.29,24080.55,32514.23,15704.3,0,17306,160065.71
