Théâtres,1864-08-14,1864-08-15,1864-08-16,1864-08-17,1864-08-18,1864-08-19,1864-08-20,14 - 20 août
Opéra,,,,9680.08,3959,10209.53,,23848.61
Théâtre Français,1390.3,,1721.5,2460.2,,2040.9,1732.7,9345.6
Opéra-Comique,,,,,,,,
Théâtre des Italiens,,,,,,,,
Odéon,,,,,,,,
Théâtre-Lyrique,,,,,,,,
Vaudeville,723.5,,,1013,1026,1512,1069,5343.5
Théâtre des Variétés,3012.5,,3478.5,3585,3340.5,3791.5,3568.5,20776.5
Gymnase,1958.75,,2248.5,2312,2230.5,3028.5,2558,14336.25
Palais-Royal,1231.5,,1510.35,1520.65,1033,2420.25,,7715.75
Porte Saint-Martin,,,,,,,,
Gaîté,,,,,,,,
Ambigu-Comique,1040,,1304.5,,,,,2344.5
Théâtre Impérial du Cirque,,,,,,,,
Folies-Dramatiques,528.6,,,,,,,528.6
Délassement Comiques,,,,,,,,
Luxembourg,,,,,,,,
Beaumarchais,,,,,,,,
,,,,,,,,
Lazary,,,,,,,,
Funambules,,,,,,,,
Bouffes  Parisiens,,,,,,,,
Total,9885.15,,10263.35,20570.93,11589,23002.68,8928.2,84239.31
